..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holding/Farm Parcels,..Owned  d/,75270,104095,126754,154516,162429,293113
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holding/Farm Parcels,..Partly Owned  e/,12049,3994,4981,21726,34541,.
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holding/Farm Parcels,..Tenanted,10945,8062,17398,27863,30411,27370
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holding/Farm Parcels,..Leased,.,.,.,6637,9462,10988
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holding/Farm Parcels,..Other Forms,4811,1731,2907,12864,9911,19090
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holding/Farm Parcels (in hectares),TOTAL,520726,474389,514124,553301,533410,346525
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holding/Farm Parcels (in hectares),..Owned  d/,368030,409508,442197,392198,352827,286638
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,80261,21328,15589,72282,95118,.
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holding/Farm Parcels (in hectares),..Tenanted,35480,24999,45319,55868,54782,30659
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,13527,15770,10966
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Area of Holding/Farm Parcels (in hectares),..Other Forms,36956,18555,11019,19427,12010,18261
