Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..Cotabato,110818949.73,114487669.95,117031602.93,124478419.71,135225546.38,153135890.53,110818949.73,114092134.91,110246647.15,116025219.44,120333596.77,125713717.55
..Sarangani,40442041.49,43985663.02,45122204.85,48529012.82,55520338.75,60033987.45,40442041.49,43237111.66,42498008.33,44478766.98,47954687.14,49715984.27
..South Cotabato,123079814.24,129852216.92,125523475.98,136789404.33,153376086.94,167339810.35,123079814.24,126231645.6,120646025.42,125814480.68,134828968.5,138326997.98
..Sultan Kudarat,64193176.85,64101542.71,64626492.05,70574615.09,78870927.23,88066828.05,64193176.85,64925425.67,63683451.63,67866350.59,71505293.2,75258521.51
..City of General Santos,115770566.37,122465525.4,115030994.77,123517179.08,141307455.32,151802552.61,115770566.37,121495875.39,112173659.53,118326000.12,129033517.2,132169762.73
Region XIII (Caraga),290561794.19,302930146.37,292574561.99,331856215.3,376843865.66,406454861.09,290561794.19,306260878.16,285001928.31,305704708.87,323893244.57,339650679.31
..Agusan del Norte,34787798.49,35999535.2,36770858.5,40760737.93,46484811.49,47230396.37,34787798.49,36183658.92,35260224.74,37331976.3,38698120.04,39879887.46
..Agusan del Sur,64697983.23,66922317.17,68201655.05,73754123.2,84276727.97,90628434.72,64697983.23,68180247.66,66834356.23,69523712.67,74211186.42,76138603.96
..Dinagat Islands,11794446.05,12021200.21,9937118.93,12306292.88,13748975.78,14843233.29,11794446.05,12252587.46,10192127.44,12537159.07,12001520.11,12635377.55
..Surigao del Norte,73329360.88,78219550.26,71635079.73,82977029.65,91761569.17,100920281.84,73329360.88,78522567.07,69647187.35,74822944.59,78417348.86,84054760.91
..Surigao del Sur,56755948.25,57931033.11,57919049.28,68264151.11,78226604.93,83794111.21,56755948.25,58169639.54,54963115,59115010.91,63175471.97,65787895.74
..City of Butuan,49196257.3,51836510.42,48110800.51,53793880.53,62345176.33,69038403.66,49196257.3,52952177.52,48104917.57,52373905.33,57389597.17,61154153.69
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),235393060.32,254779370.3,260347879,284617149.29,326813470.27,363690662.26,235393060.32,249157465.31,244524737.96,262884258.51,280267917.57,292227756.83
..Basilan,19044439.48,20908358.92,22374389.39,23046664.55,27047000.36,30067516.03,19044439.48,20091737.32,19959322.42,20940089.66,22484746.61,23146175.03
..Lanao del Sur,58534843.07,64601352.59,67912264.68,74140452.84,83854819.95,91969337.83,58534843.07,63301588.03,63699065.58,68110322.21,71774787.09,75377243.55
..Maguindanao del Norte,65485521.98,70894223.58,69913942.32,77095546.77,89163484.83,97366507.89,65485521.98,69220449.36,66517196.54,71712646.33,78021363.35,81914160.48
..Maguindanao del Sur,31143253.71,32829990.95,33027389.29,37920412.95,44264269.29,46730795.87,31143253.71,32451026.39,32525336.5,35843113.69,38234671.66,39540946.71
..Sulu,38817318.24,41318673.72,43358870.45,46079625.9,52116345.51,64796042.54,38817318.24,40647435.63,40483375.06,43096387.62,44969533.05,46455178.19
..Tawi-Tawi,22367683.82,24226770.55,23761022.87,26334446.28,30367550.33,32760462.09,22367683.82,23445228.58,21340441.85,23181699,24782815.8,25794052.88
