Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,750,750,0,0,0,0,0,0,0,0,3682,0,3682,3682,26,0,26,26,0,0,0,0,0,0,0,0,5458,878,4580,3702,44142,0,44142,44142,104648,0,104648,104648,46762,0,46762,46762,38112,0,38112,38112,66446,0,66446,66446,37648,18863,18785,-78,48130,8464,39666,31202,107034,8027,99007,90980,139267,58033,81234,23201,236564,40074,196490,156416,115478,5000,110478,105478,229465,54610,174855,120245,176047,2295,173752,171457,185647,12975,172672,159697,145149,20511,124638,104127,320529,7247,313282,306035,628740,243008,385732,142724,552303,170753,381550,210797,2066758,335986,1730772,1394786,240755,131098,109657,-21441
Aruba,994537,0,994537,994537,4052773,0,4052773,4052773,19413877,18441920,971957,-17469963,7317317,5194320,2122997,-3071323,3783524,0,3783524,3783524,2142658,28126,2114532,2086406,111713,25231,86482,61251,297606,62335,235271,172936,1019361,137003,882358,745355,1476666,919347,557319,-362028,1094115,287011,807104,520093,871691,41350,830341,788991,1115948,804381,311567,-492814,1447053,900746,546307,-354439,599747,187703,412044,224341,181910,0,181910,181910,119022,0,119022,119022,124990,0,124990,124990,217428,67841,149587,81746,239585,22418,217167,194749,230146,25600,204546,178946,254607,0,254607,254607,270011,77453,192558,115105,454217,15658,438559,422901,265284,0,265284,265284,241472,2837,238635,235798,1122555,860115,262440,-597675,2315778,0,2315778,2315778,214450,120,214330,214210,200457,0,200457,200457,183400,798,182602,181804,702251,1683,700568,698885,176903,198,176705,176507,216543,3203,213340,210137,176515,130,176385,176255,45556,7827,37729,29902
Australia,484065276,380167400,103897876,-276269524,519252448,406656181,112596267,-294059914,586990540,472542281,114448259,-358094022,726779851,586936531,139843320,-447093211,874084942,730793924,143291018,-587502906,969221696,808462144,160759552,-647702592,1158408462,954823544,203584918,-751238626,852424554,682895169,169529385,-513365784,981837094,756818983,225018111,-531800872,1126957578,817470465,309487113,-507983352,870595237,645351541,225243696,-420107845,932123182,575843831,356279351,-219564480,898798782,491998273,406800509,-85197764,1061095134,579357831,481737303,-97620528,986111028,531056019,455055009,-76001010,1106460541,618247299,488213242,-130034057,1245599516,717185060,528414456,-188770604,1373209067,902438828,470770239,-431668589,1028421370,732131802,296289568,-435842234,1188669222,839043011,349626211,-489416800,1464945606,1071055868,393889738,-677166130,1734204518,1346957412,387247106,-959710306,1508429773,989280047,519149726,-470130321,1622982435,799945609,823036826,23091217,1330476087,870904458,459571629,-411332829,1444556432,924183958,520372474,-403811484,2181887646,1728634249,453253397,-1275380852,2065004231,1612698450,452305781,-1160392669,1809377870,1411278087,398099783,-1013178304,1170403752,808114954,362288798,-445826156,2130487422,1599115076,531372346,-1067742730,3366161335,2805504769,560656566,-2244848203,4059417161,3497475630,561941531,-2935534099,3288062801,2740713659,547349142,-2193364517,4076041470,2356757550,1719283920,-637473630,1021028548,829632402,191396146,-638236256
Austria,27679426,15247314,12432112,-2815202,26868468,15673305,11195163,-4478142,33494656,19134241,14360415,-4773826,39368977,23859344,15509633,-8349711,37779477,24053005,13726472,-10326533,51397611,31550059,19847552,-11702507,47175496,28111571,19063925,-9047646,47728965,26201952,21527013,-4674939,63174706,41999568,21175138,-20824430,81719425,48757146,32962279,-15794867,103052851,65254298,37798553,-27455745,113195140,70126567,43068573,-27057994,79880741,55792109,24088632,-31703477,93905415,72849224,21056191,-51793033,67321859,46290283,21031576,-25258707,111683984,58194202,53489782,-4704420,96983110,27795201,69187909,41392708,87334961,37525842,49809119,12283277,97034269,58739045,38295224,-20443821,257615721,180569352,77046369,-103522983,203663914,105935264,97728650,-8206614,147974329,49808707,98165622,48356915,220943496,61932404,159011092,97078688,175092782,74641042,100451740,25810698,201217103,99424653,101792450,2367797,195399674,126765115,68634559,-58130556,187740743,130888196,56852547,-74035649,226441536,117696991,108744545,-8952446,239918127,144897164,95020963,-49876201,211829384,128579559,83249825,-45329734,232493383,125350314,107143069,-18207245,288194583,147364295,140830288,-6534007,350414768,149065023,201349745,52284722,313210411,154655679,158554732,3899053,334270491,176616098,157654393,-18961705,125020497,66386431,58634066,-7752365
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2347400,2347400,0,-2347400,180,0,180,180,0,0,0,0,12742,441,12301,11860,0,0,0,0,0,0,0,0,0,0,0,0,51479,0,51479,51479,130691,0,130691,130691,457022,9681,447341,437660,544274,0,544274,544274,178045,0,178045,178045,29298,98,29200,29102,29954,869,29085,28216,22850,0,22850,22850,856176,12383,843793,831410,576301,51,576250,576199,88132,0,88132,88132,118991,0,118991,118991,197922,92064,105858,13794,301833,147866,153967,6101,983714,901611,82103,-819508,227175,10895,216280,205385,127464,0,127464,127464,132089,7640,124449,116809,67915,0,67915,67915,1228001,3552,1224449,1220897,345497,24563,320934,296371,422399,840,421559,420719,1054329,185260,869069,683809,852882,340,852542,852202,350801,1632,349169,347537
Azores,0,0,0,0,0,0,0,0,0,0,0,0,1133,0,1133,1133,2339,2339,0,-2339,140159,107313,32846,-74467,18583,18583,0,-18583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198868,8607,190261,181654,935494,215745,719749,504004,156050,0,156050,156050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545782,0,545782,545782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,523754,216402,307352,90950,668819,197350,471469,274119,2424282,2121446,302836,-1818610,1290437,1050507,239930,-810577,571978,173963,398015,224052,214082,7045,207037,199992,610266,77370,532896,455526,210746,0,210746,210746,613649,0,613649,613649,1078473,0,1078473,1078473,770219,0,770219,770219,2495298,0,2495298,2495298,915688,7093,908595,901502,1521382,45900,1475482,1429582,762721,0,762721,762721,961151,0,961151,961151,1640845,313,1640532,1640219,2155226,5984,2149242,2143258,2004141,43057,1961084,1918027,1301941,10157,1291784,1281627,1771329,135527,1635802,1500275,1552280,9885,1542395,1532510,2967549,816,2966733,2965917,851519,134,851385,851251,949709,1787,947922,946135,3501575,2809153,692422,-2116731,782934,0,782934,782934,1685788,15279,1670509,1655230,546352,0,546352,546352,127009,1430,125579,124149,443479,1620,441859,440239,841640,1539,840101,838562,618481,1268,617213,615945,778413,2026,776387,774361,801789,6989,794800,787811,237793,648,237145,236497
Bahrain,4211342,176191,4035151,3858960,8358904,2737090,5621814,2884724,15956216,8632759,7323457,-1309302,13943158,6655679,7287479,631800,22567968,16969332,5598636,-11370696,19107453,15598840,3508613,-12090227,16328667,9310397,7018270,-2292127,17375290,12795145,4580145,-8215000,10080555,6668025,3412530,-3255495,9862335,5860112,4002223,-1857889,16740623,13437712,3302911,-10134801,7066919,4312369,2754550,-1557819,9261988,6741968,2520020,-4221948,4497317,1687714,2809603,1121889,9437430,6178435,3258995,-2919440,12306471,6827073,5479398,-1347675,21822080,5376461,16445619,11069158,25165040,974711,24190329,23215618,7803168,182491,7620677,7438186,7836137,2993183,4842954,1849771,19081512,11895243,7186269,-4708974,63124548,58109932,5014616,-53095316,16899899,10741962,6157937,-4584025,19348074,10790506,8557568,-2232938,11719766,2379870,9339896,6960026,9879116,2321506,7557610,5236104,43042841,35689014,7353827,-28335187,31591630,23057488,8534142,-14523346,16475864,5635272,10840592,5205320,30812616,19846816,10965800,-8881016,62870016,52262287,10607729,-41654558,23170783,15462955,7707828,-7755127,19481692,10691422,8790270,-1901152,93265506,78142192,15123314,-63018878,26370560,2777467,23593093,20815626,4076796,222610,3854186,3631576
Bangladesh,4920412,272279,4648133,4375854,12470803,7816906,4653897,-3163009,5384703,4303138,1081565,-3221573,12466556,7080454,5386102,-1694352,13823393,8546014,5277379,-3268635,12491243,9806458,2684785,-7121673,15111641,7667209,7444432,-222777,11918628,8033790,3884838,-4148952,11736767,5753136,5983631,230495,16874862,1711085,15163777,13452692,17909169,9946388,7962781,-1983607,6705763,473884,6231879,5757995,10619338,417608,10201730,9784122,9956524,3307536,6648988,3341452,23443752,4378100,19065652,14687552,49090112,17730960,31359152,13628192,28055962,5235686,22820276,17584590,74219511,4263552,69955959,65692407,56420770,27331038,29089732,1758694,86829774,36257951,50571823,14313872,49798968,6827106,42971862,36144756,36739511,8014991,28724520,20709529,22727807,12546489,10181318,-2365171,30343991,20194556,10149435,-10045121,48872285,25678671,23193614,-2485057,47792787,32267271,15525516,-16741755,51663746,38152355,13511391,-24640964,59240483,38925831,20314652,-18611179,75094620,54396349,20698271,-33698078,71911942,53153007,18758935,-34394072,104939461,72329694,32609767,-39719927,142957443,104217875,38739568,-65478307,125976961,87679164,38297797,-49381367,125809220,85886826,39922394,-45964432,146355881,85177656,61178225,-23999431,52066021,29416340,22649681,-6766659
Barbados,57076,0,57076,57076,0,0,0,0,165713,29686,136027,106341,230448,100429,130019,29590,858112,559384,298728,-260656,419499,209147,210352,1205,2106308,130409,1975899,1845490,2749447,320690,2428757,2108067,1377255,70618,1306637,1236019,5954763,770184,5184579,4414395,5154879,56083,5098796,5042713,5403515,150766,5252749,5101983,5534554,94869,5439685,5344816,1344785,763,1344022,1343259,1113655,3820,1109835,1106015,235732,0,235732,235732,242178,0,242178,242178,142790,102,142688,142586,131021,8463,122558,114095,101322,0,101322,101322,153094,8800,144294,135494,160367,31614,128753,97139,208418,21968,186450,164482,162055,71400,90655,19255,233571,77059,156512,79453,183982,67547,116435,48888,235183,26943,208240,181297,144851,36410,108441,72031,131813,32141,99672,67531,69694,12093,57601,45508,151061,2622,148439,145817,812,356,456,100,369,369,0,-369,127275,8489,118786,110297,540842,194,540648,540454,366531,0,366531,366531
Belgium,181855133,97301021,84554112,-12746909,166937002,90135934,76801068,-13334866,204332562,110272556,94060006,-16212550,332735247,236276585,96458662,-139817923,280247948,175386900,104861048,-70525852,329062572,221353608,107708964,-113644644,326448587,192128332,134320255,-57808077,302303720,157160972,145142748,-12018224,229551282,140502751,89048531,-51454220,299675483,165834438,133841045,-31993393,330658909,134821271,195837638,61016367,430730780,162742101,267988679,105246578,489274258,212744892,276529366,63784474,461645992,196960508,264685484,67724976,484050387,213964525,270085862,56121337,998259485,264249658,734009827,469760169,971189784,304904991,666284793,361379802,855921111,216079583,639841528,423761945,686284554,193770369,492514185,298743816,599123874,251146545,347977329,96830784,720980959,334669846,386311113,51641267,590708131,288686026,302022105,13336079,624383745,327401160,296982585,-30418575,474602031,228588639,246013392,17424753,794121250,500247284,293873966,-206373318,947549804,542545048,405004756,-137540292,839455379,481998825,357456554,-124542271,845225458,574387840,270837618,-303550222,818373086,578010233,240362853,-337647380,642574909,428495083,214079826,-214415257,1036280109,743952768,292327341,-451625427,876549295,657400841,219148454,-438252387,629524373,395629794,233894579,-161735215,555436980,369924833,185512147,-184412686,480437912,321410344,159027568,-162382776,138678166,91038852,47639314,-43399538
Belize (British Honduras),291466,0,291466,291466,501693,14240,487453,473213,108544,6300,102244,95944,18109,10000,8109,-1891,527793,437408,90385,-347023,289529,138860,150669,11809,586513,122966,463547,340581,368832,334195,34637,-299558,441156,57564,383592,326028,1042164,828721,213443,-615278,4200469,821158,3379311,2558153,1121233,99146,1022087,922941,2734828,488036,2246792,1758756,85302,15839,69463,53624,69236,0,69236,69236,82549,0,82549,82549,20907,0,20907,20907,0,0,0,0,105800,0,105800,105800,325968,0,325968,325968,88037,0,88037,88037,169249,0,169249,169249,657636,12657,644979,632322,46550,42271,4279,-37992,13132,12860,272,-12588,149512,0,149512,149512,86247,22947,63300,40353,1018624,0,1018624,1018624,340662,0,340662,340662,770167,0,770167,770167,207610,3000,204610,201610,275379,53,275326,275273,673108,0,673108,673108,701523,43200,658323,615123,9483,0,9483,9483,227142,0,227142,227142
Belarus (Byelorussian S.S.R.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5119,0,5119,5119,0,0,0,0,0,0,0,0,0,0,0,0,105677,104672,1005,-103667,90389,90389,0,-90389,10326,0,10326,10326,23677,23677,0,-23677,257490,257490,0,-257490,79313,79313,0,-79313,4200,0,4200,4200,29024,29024,0,-29024,0,0,0,0,48192,48192,0,-48192,5119342,5119342,0,-5119342,5838435,5712390,126045,-5586345,347117,199573,147544,-52029,2091727,1364260,727467,-636793,1929849,1792278,137571,-1654707,9568008,9351848,216160,-9135688,4271769,3909314,362455,-3546859,6557000,6107541,449459,-5658082,1685923,1142555,543368,-599187,5326567,4913201,413366,-4499835,3013360,2607124,406236,-2200888,4234950,4019451,215499,-3803952,18870087,18817514,52573,-18764941,10238614,10140808,97806,-10043002,27190526,27007788,182738,-26825050,22731178,22601910,129268,-22472642,5930890,5867106,63784,-5803322
"Benin, People's Rep. of (Dahomey)",375380,367057,8323,-358734,420867,417392,3475,-413917,260094,259960,134,-259826,150284,150284,0,-150284,107468,98958,8510,-90448,799217,740626,58591,-682035,127117,39632,87485,47853,589414,291012,298402,7390,4211537,72488,4139049,4066561,977015,604064,372951,-231113,596823,51385,545438,494053,573555,40559,532996,492437,1516762,741606,775156,33550,175466,129755,45711,-84044,374321,3169,371152,367983,561861,0,561861,561861,1194791,5272,1189519,1184247,187217,0,187217,187217,200,0,200,200,36148,0,36148,36148,39570,0,39570,39570,85440,0,85440,85440,6798,308,6490,6182,9968,6668,3300,-3368,286570,0,286570,286570,5040,135,4905,4770,357883,0,357883,357883,3013,0,3013,3013,24944,0,24944,24944,40160,0,40160,40160,50275,0,50275,50275,84843,0,84843,84843,8273,0,8273,8273,24771,0,24771,24771,1146225,0,1146225,1146225,294427,0,294427,294427
Bermuda,181289,0,181289,181289,231229,441,230788,230347,348859,0,348859,348859,76305,489,75816,75327,107196,31165,76031,44866,331232,0,331232,331232,189390,28827,160563,131736,416793,3536,413257,409721,275035,0,275035,275035,894082,74927,819155,744228,2135581,543224,1592357,1049133,418755,36585,382170,345585,850064,127375,722689,595314,260422,61471,198951,137480,983847,0,983847,983847,70635,0,70635,70635,538916,426056,112860,-313196,2569160,2262065,307095,-1954970,1219537,1082714,136823,-945891,3266674,1957973,1308701,-649272,150816,3749,147067,143318,329427,47244,282183,234939,301956,200542,101414,-99128,88996,3206,85790,82584,74857,217,74640,74423,69996,1581,68415,66834,6190,876,5314,4438,19355,16070,3285,-12785,12269,1752,10517,8765,5735975,0,5735975,5735975,1568266,2810,1565456,1562646,5331,1292,4039,2747,27500,950,26550,25600,2841,2841,0,-2841,17108,16092,1016,-15076,4810,2719,2091,-628
Bhutan,0,0,0,0,6680,0,6680,6680,4309,4309,0,-4309,37079,37079,0,-37079,80434,70434,10000,-60434,68952,68952,0,-68952,385711,380365,5346,-375019,184023,54591,129432,74841,98712,0,98712,98712,616370,92861,523509,430648,1120646,695562,425084,-270478,995137,140185,854952,714767,2697031,1127071,1569960,442889,1156248,7376,1148872,1141496,11202,0,11202,11202,58743,0,58743,58743,696,696,0,-696,0,0,0,0,0,0,0,0,9390,184,9206,9022,8299,4781,3518,-1263,844,844,0,-844,386319,0,386319,386319,180765,0,180765,180765,31496,0,31496,31496,169893,0,169893,169893,190007,0,190007,190007,150297,0,150297,150297,66999,0,66999,66999,34602,0,34602,34602,20089,676,19413,18737,54533,1453,53080,51627,137320,200,137120,136920,199486,400,199086,198686,267295,372,266923,266551,47466,0,47466,47466
Bolivia,169848,158170,11678,-146492,9537,0,9537,9537,10366,5789,4577,-1212,2976,480,2496,2016,2000986,99571,1901415,1801844,3486666,442286,3044380,2602094,795274,0,795274,795274,133576,3003,130573,127570,288932,0,288932,288932,144448,0,144448,144448,134503,0,134503,134503,74810,0,74810,74810,37401,6813,30588,23775,317774,0,317774,317774,58178,0,58178,58178,31417,0,31417,31417,664419,0,664419,664419,550896,210,550686,550476,158760,509,158251,157742,505373,3434,501939,498505,707104,358464,348640,-9824,1373372,1214,1372158,1370944,603051,0,603051,603051,388875,3192,385683,382491,1129262,215939,913323,697384,3046185,2323890,722295,-1601595,860339,463289,397050,-66239,744795,531818,212977,-318841,1308688,1202122,106566,-1095556,303335,194145,109190,-84955,559258,198080,361178,163098,3176432,651976,2524456,1872480,2339010,193777,2145233,1951456,1645869,174292,1471577,1297285,2076877,368294,1708583,1340289,735826,545991,189835,-356156
Bosnia And Herzegovina,0,0,0,0,0,0,0,0,54530,54530,0,-54530,7260,7260,0,-7260,5944,5944,0,-5944,132136,102972,29164,-73808,1661596,1300621,360975,-939646,934387,27712,906675,878963,349493,158825,190668,31843,787622,14371,773251,758880,704137,24316,679821,655505,1318879,120059,1198820,1078761,2044262,677180,1367082,689902,535335,214222,321113,106891,148463,3029,145434,142405,200023,115833,84190,-31643,718393,2161,716232,714071,1068772,41371,1027401,986030,455049,111962,343087,231125,723477,46585,676892,630307,703020,7151,695869,688718,297142,2143,294999,292856,410292,0,410292,410292,153498,82601,70897,-11704,659919,654800,5119,-649681,1231716,1187039,44677,-1142362,399567,366568,32999,-333569,209390,119914,89476,-30438,137065,30527,106538,76011,5323531,5210145,113386,-5096759,7170377,6961683,208694,-6752989,12904392,12708914,195478,-12513436,6777966,6663241,114725,-6548516,4777523,4530604,246919,-4283685,5616124,5384451,231673,-5152778,2546595,2501508,45087,-2456421
Botswana,2042812,2042812,0,-2042812,0,0,0,0,0,0,0,0,2910,2910,0,-2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51590,0,51590,51590,10262,8921,1341,-7580,11646,0,11646,11646,25,0,25,25,0,0,0,0,0,0,0,0,1808,0,1808,1808,25823,812,25011,24199,0,0,0,0,392517,0,392517,392517,1144236,1007,1143229,1142222,217823,0,217823,217823,20870,0,20870,20870,256034,2710,253324,250614,152070,599,151471,150872,132219,800,131419,130619,148289,2999,145290,142291,109142,818,108324,107506,83788,0,83788,83788,13122,0,13122,13122,36185,1234,34951,33717,3470,0,3470,3470,83776,12101,71675,59574,107949,20720,87229,66509,50766,20283,30483,10200,3208,1075,2133,1058
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,810,0,-810,0,0,0,0,41808,41808,0,-41808,0,0,0,0,39241,350,38891,38541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,186,0,-186,0,0,0,0,44586,44586,0,-44586,0,0,0,0,0,0,0,0,208,208,0,-208,0,0,0,0,0,0,0,0,8325,8325,0,-8325,0,0,0,0,10470,10470,0,-10470,0,0,0,0
Brazil,185446991,180303337,5143654,-175159683,184351050,179996118,4354932,-175641186,207187352,201902478,5284874,-196617604,255188363,245924213,9264150,-236660063,272422444,251567682,20854762,-230712920,307995788,294550407,13445381,-281105026,232033134,207944767,24088367,-183856400,136461381,112134034,24327347,-87806687,134823497,112758894,22064603,-90694291,151668425,105570232,46098193,-59472039,130331570,93188753,37142817,-56045936,161507450,126821645,34685805,-92135840,169634516,145789314,23845202,-121944112,254001461,230997343,23004118,-207993225,297660160,221811228,75848932,-145962296,294120559,217709125,76411434,-141297691,385641930,309903601,75738329,-234165272,385696945,316676378,69020567,-247655811,285499684,202201934,83297750,-118904184,332479523,188402628,144076895,-44325733,391221761,246140336,145081425,-101058911,486769074,338614624,148154450,-190460174,335617307,176298855,159318452,-16980403,318776833,162011023,156765810,-5245213,514898158,385528180,129369978,-256158202,544548820,452671518,91877302,-360794216,622439909,495027056,127412853,-367614203,937954833,771028937,166925896,-604103041,1068893181,883637127,185256054,-698381073,918155513,756443050,161712463,-594730587,1366438806,1174839608,191599198,-983240410,1679755498,1462632304,217123194,-1245509110,1580229973,1372745048,207484925,-1165260123,2239680634,2030176142,209504492,-1820671650,2049903582,1830534353,219369229,-1611165124,721185780,655604135,65581645,-590022490
British Indian Ocean Territory,0,0,0,0,0,0,0,0,5182,0,5182,5182,0,0,0,0,0,0,0,0,0,0,0,0,3065,3065,0,-3065,0,0,0,0,175000,175000,0,-175000,14776,14776,0,-14776,131311,0,131311,131311,1198,1198,0,-1198,183184,120424,62760,-57664,458979,0,458979,458979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,300,300,9048,0,9048,9048,900,0,900,900,600,0,600,600,6755,5556,1199,-4357,1091,791,300,-491,26238,7369,18869,11500,1140,0,1140,1140,52145,0,52145,52145,1764,164,1600,1436,1919,1919,0,-1919,0,0,0,0,507,507,0,-507,55098,55098,0,-55098,3658,3658,0,-3658,0,0,0,0
British Pacific Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82650,82650,0,-82650,0,0,0,0,152576,152289,287,-152002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1860,1080,780,-300,0,0,0,0,0,0,0,0,0,0,0,0,9719,0,9719,9719,0,0,0,0,0,0,0,0,30537,0,30537,30537,75549,75549,0,-75549,0,0,0,0,61294,0,61294,61294,18486,18486,0,-18486,0,0,0,0,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,1000,0,0,0,0,0,0,0,0,750,0,750,750,0,0,0,0
British West Africa(Exc. St. Helena),0,0,0,0,0,0,0,0,104899,0,104899,104899,23500,23500,0,-23500,76085,0,76085,76085,29670,0,29670,29670,196,196,0,-196,1688,0,1688,1688,285298,285298,0,-285298,687724,655895,31829,-624066,0,0,0,0,450182,228241,221941,-6300,148466,92974,55492,-37482,472395,440227,32168,-408059,0,0,0,0,75,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,476,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,96477951,95433960,1043991,-94389969,93964446,91836784,2127662,-89709122,53082421,50715981,2366440,-48349541,38471469,35169476,3301993,-31867483,10238189,7681323,2556866,-5124457,3852837,373880,3478957,3105077,5329710,955108,4374602,3419494,3995129,91769,3903360,3811591,6749498,1287328,5462170,4174842,4131387,158488,3972899,3814411,4110743,221719,3889024,3667305,26444713,23579843,2864870,-20714973,3391218,500978,2890240,2389262,4337668,310633,4027035,3716402,10322913,924247,9398666,8474419,6361328,75832,6285496,6209664,6041511,187126,5854385,5667259,91004935,81012265,9992670,-71019595,27106545,22178682,4927863,-17250819,8401662,2446324,5955338,3509014,11280863,5048068,6232795,1184727,62640102,55397533,7242569,-48154964,9511672,893525,8618147,7724622,85638858,76320115,9318743,-67001372,16248946,4494156,11754790,7260634,28902357,20626878,8275479,-12351399,50370782,42788964,7581818,-35207146,44194120,37127962,7066158,-30061804,119671871,114415637,5256234,-109159403,161517591,157159554,4358037,-152801517,392294476,369957768,22336708,-347621060,604749577,444933587,159815990,-285117597,316849351,264267463,52581888,-211685575,391696887,307824893,83871994,-223952899,478180441,367999046,110181395,-257817651,153330000,127796199,25533801,-102262398
Bulgaria,8646358,8646358,0,-8646358,11648137,11648137,0,-11648137,23108800,23065910,42890,-23023020,9382728,9364430,18298,-9346132,1697135,1443673,253462,-1190211,4779540,4579497,200043,-4379454,14163393,14109839,53554,-14056285,5307620,4606133,701487,-3904646,1527826,616445,911381,294936,2546501,1107855,1438646,330791,2119399,656563,1462836,806273,2989860,1161246,1828614,667368,2427424,1665254,762170,-903084,6337465,6048239,289226,-5759013,9159952,7108134,2051818,-5056316,15989540,13819237,2170303,-11648934,13434265,9172778,4261487,-4911291,11061192,5546967,5514225,-32742,6589774,3180020,3409754,229734,19157034,13007141,6149893,-6857248,42728315,34599338,8128977,-26470361,32728315,24485140,8243175,-16241965,89806787,65915837,23890950,-42024887,61137404,44451558,16685846,-27765712,60758337,40260816,20497521,-19763295,116759048,84877463,31881585,-52995878,85585145,40942378,44642767,3700389,102090138,39785821,62304317,22518496,183777238,133430530,50346708,-83083822,157404289,112835417,44568872,-68266545,192188981,134458244,57730737,-76727507,114255431,36379448,77875983,41496535,138433159,42689205,95743954,53054749,120909797,44880698,76029099,31148401,164753564,103578217,61175347,-42402870,23399699,8951194,14448505,5497311
